"id","created_at","category","price","title","vendor"
1,2018-07-19 19:44:56,Gizmo,30.936,Rustic Paper Wallet,"Swaniawski, Casper and Hilll"
2,2020-04-11 08:49:35,Doohickey,73.584,Small Marble Shoes,Balistreri-Ankunding
3,2019-09-08 22:03:20,Doohickey,37.158,Synergistic Granite Chair,"Murray, Watsica and Wunsch"
4,2019-03-06 02:53:09,Doohickey,77.691,Enormous Aluminum Shirt,Regan Bradtke and Sons
5,2017-10-03 01:47:39,Gadget,86.882,Enormous Marble Wallet,"Price, Schultz and Daniel"
6,2018-03-29 05:43:40,Doohickey,68.205,Small Marble Hat,Nolan-Wolff
7,2018-06-03 03:07:28,Doohickey,103.760,Aerodynamic Linen Coat,Little-Pagac
8,2019-04-30 15:03:53,Doohickey,69.187,Enormous Steel Watch,Senger-Stamm
9,2020-02-07 08:26:25,Widget,61.229,Practical Bronze Computer,Keely Stehr Group
10,2018-01-09 09:51:20,Gizmo,33.376,Mediocre Wooden Table,"Larson, Pfeffer and Klocko"
11,2019-05-28 08:02:54,Gadget,92.720,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson"
12,2018-11-12 14:51:16,Gizmo,81.210,Sleek Paper Toucan,Mueller-Dare
13,2017-05-24 23:09:46,Gizmo,78.840,Synergistic Steel Chair,Mr. Tanya Stracke and Sons
14,2018-12-31 14:41:56,Widget,26.354,Awesome Concrete Shoes,McClure-Lockman
15,2017-09-08 14:42:57,Widget,26.354,Aerodynamic Paper Computer,Friesen-Anderson
16,2018-01-30 22:00:25,Gadget,46.277,Incredible Bronze Pants,"Okuneva, Kutch and Monahan"
17,2018-01-31 11:05:14,Doohickey,55.955,Enormous Wool Car,"Hilpert, Jacobs and Hauck"
18,2018-02-11 03:45:40,Gadget,57.332,Lightweight Paper Bottle,Wilkinson-Gottlieb
19,2017-11-06 23:27:12,Doohickey,44.805,Rustic Concrete Bottle,"Gibson, Turner and Douglas"
20,2018-08-25 18:18:36,Gizmo,26.129,Intelligent Wooden Gloves,Ora Monahan and Sons
21,2017-06-30 07:30:53,Gadget,42.403,Lightweight Wool Bag,Heaney-Windler
22,2018-11-24 20:14:28,Gizmo,22.496,Enormous Marble Shoes,"Mayer, Kiehn and Turcotte"
23,2019-02-01 16:00:14,Widget,81.807,Fantastic Aluminum Bottle,"Reichert, Johnson and Roob"
24,2018-02-08 05:19:53,Doohickey,78.615,Synergistic Marble Keyboard,Claude Thompson Group
25,2019-10-17 03:54:33,Widget,48.036,Durable Marble Watch,"Ritchie, Haley and Pacocha"
26,2018-11-02 09:54:01,Widget,47.687,Ergonomic Aluminum Plate,Tia Goyette Group
27,2020-01-25 13:28:28,Gadget,89.267,Awesome Aluminum Table,Alfredo Kuhlman Group
28,2019-03-13 11:24:34,Gizmo,47.687,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings"
29,2018-09-14 15:30:37,Widget,86.502,Durable Steel Toucan,Odessa Emmerich Inc
30,2017-10-22 11:57:21,Gadget,44.922,Ergonomic Paper Wallet,Miles Ryan Group
31,2019-06-05 19:01:10,Doohickey,73.957,Rustic Rubber Clock,"Quigley, Von and Will"
32,2018-11-15 04:21:04,Gadget,75.001,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons
33,2017-05-30 20:38:52,Doohickey,33.421,Small Plastic Computer,Spinka-Stokes
34,2017-04-28 22:08:19,Gadget,52.013,Heavy-Duty Wooden Clock,Eugenia Kunze LLC
35,2018-09-14 22:13:40,Doohickey,50.076,Mediocre Cotton Coat,Cassin-Collins
36,2017-04-26 19:29:55,Gizmo,91.656,Mediocre Plastic Clock,"Wolf, Beahan and Thiel"
37,2020-04-15 13:34:19,Gadget,56.075,Incredible Granite Toucan,"Parker, OConnell and Beahan"
38,2018-01-09 14:54:58,Gadget,46.249,Lightweight Leather Gloves,"Bednar, Berge and Boyle"
39,2020-01-06 03:22:33,Gizmo,80.207,Durable Rubber Computer,Carmela Douglas Inc
40,2019-06-22 04:29:03,Gizmo,69.764,Small Copper Plate,Maegan Casper Group
41,2019-07-16 01:10:38,Widget,44.456,Aerodynamic Paper Coat,Robyn Padberg Inc
42,2017-09-17 18:21:58,Widget,26.603,Awesome Rubber Wallet,Schamberger-Maggio
43,2017-07-06 03:02:57,Widget,53.447,Lightweight Marble Bag,Francis Wolff Group
44,2017-08-25 21:35:12,Widget,53.447,Gorgeous Concrete Shoes,Carol Marvin LLC
45,2017-05-04 13:31:42,Doohickey,82.635,Sleek Wool Wallet,"Volkman, Greenfelder and Kiehn"
46,2017-09-13 06:34:33,Gadget,82.635,Rustic Linen Keyboard,Una Fadel Group
47,2018-05-19 22:47:54,Doohickey,58.854,Aerodynamic Cotton Bottle,Annetta Wyman and Sons
48,2019-02-20 21:54:33,Gizmo,86.246,Gorgeous Concrete Chair,Kiehn-Pacocha
49,2018-06-02 08:07:59,Gadget,92.000,Incredible Silk Shoes,Schuster-Wyman
50,2019-06-19 22:53:03,Widget,37.548,Durable Wool Toucan,"Hartmann, Mohr and Stiedemann"
51,2017-07-07 16:23:10,Gizmo,52.955,Awesome Granite Car,Keshaun Mueller Group
52,2018-05-22 07:39:32,Widget,72.573,Ergonomic Marble Hat,Koch-Ruecker
53,2017-11-04 00:33:07,Doohickey,30.993,Mediocre Cotton Toucan,Jacobson-Daniel
54,2017-11-22 09:23:14,Widget,43.466,Intelligent Bronze Knife,McClure-Murphy
55,2017-09-05 23:51:24,Gadget,67.040,Mediocre Rubber Shoes,"Considine, Lehner and Maggio"
56,2018-06-28 13:30:14,Doohickey,25.460,Awesome Silk Car,Hackett-Reynolds
57,2019-03-01 02:39:56,Gizmo,85.696,Gorgeous Bronze Hat,"Kuphal, Schowalter and Bogan"
58,2018-12-11 05:22:00,Gadget,54.702,Practical Steel Table,"Smitham, Dach and Bode"
59,2019-07-14 13:14:37,Gizmo,62.442,Sleek Aluminum Watch,"Donnelly, Renner and Barton"
60,2018-12-16 11:14:43,Doohickey,20.862,Rustic Paper Car,Stroman-Carroll
61,2018-01-24 03:11:46,Gizmo,16.477,Mediocre Paper Car,Jordi Effertz LLC
62,2019-12-06 01:14:59,Widget,93.464,Awesome Iron Hat,Von-Gulgowski
63,2019-08-28 07:45:17,Gizmo,93.464,Enormous Granite Wallet,"Hills, Fahey and Jones"
64,2018-02-21 11:15:20,Gadget,100.396,Incredible Aluminum Knife,Noah Anderson and Sons
65,2019-10-01 14:56:06,Widget,47.759,Ergonomic Silk Table,Weimann-Cummings
66,2019-02-07 07:35:04,Widget,95.313,Fantastic Silk Bottle,Goyette-Smitham
