"id","created_at","user_id","product_id","discount","quantity"
1,2019-02-11 21:40:27,1,14,,2
3,2019-12-06 22:22:48,1,105,6.42,2
4,2019-08-22 16:30:42,1,94,,6
6,2019-11-06 16:38:50,1,60,,3
8,2019-06-17 02:37:41,1,65,8.65,7
13,2019-04-06 01:04:43,3,70,2.12,2
19,2019-02-14 07:28:31,3,136,,1
22,2019-12-12 21:32:01,4,10,6.75,1
23,2019-06-02 11:33:15,4,85,,5
24,2019-09-20 17:28:38,4,14,,6
25,2019-12-21 12:23:13,4,97,,2
27,2019-04-28 07:01:15,6,14,,2
30,2019-04-15 12:24:20,6,179,,3
33,2019-06-18 11:17:03,7,172,6.48,4
34,2019-01-04 21:12:38,7,3,,1
40,2019-11-21 23:35:02,7,101,,2
42,2019-11-16 08:11:08,7,145,,3
43,2019-11-03 20:24:38,8,193,,3
48,2019-05-16 20:17:06,8,140,,5
49,2019-11-17 09:19:09,8,157,,3
58,2019-03-09 01:05:15,10,91,,1
59,2019-04-11 18:53:36,10,71,,1
61,2019-09-23 11:07:08,10,11,,3
64,2019-02-23 16:13:35,10,65,,2
68,2019-05-28 14:47:23,12,25,,5
69,2019-06-28 14:19:18,12,183,,8
70,2019-11-21 11:21:36,12,22,,3
73,2019-08-18 02:49:20,12,122,,7
77,2019-09-27 21:32:36,15,86,,4
80,2019-04-15 14:49:30,15,85,,4
81,2019-10-29 03:41:26,15,157,6.01,4
84,2019-12-26 14:29:19,16,183,,2
85,2019-06-05 08:15:20,16,104,,6
87,2019-05-06 01:41:27,16,17,,3
88,2019-08-10 01:39:40,16,14,,7
91,2019-02-18 12:57:11,17,185,,2
94,2019-08-01 00:15:06,17,172,,4
97,2019-07-01 01:51:26,17,110,,4
99,2019-12-23 09:54:13,17,199,,1
103,2019-09-15 18:30:40,17,172,,5
106,2019-06-16 07:59:05,17,158,,4
109,2019-09-14 06:23:32,17,172,,3
113,2019-09-01 22:01:35,17,182,,5
114,2019-12-08 16:20:25,17,108,,2
116,2019-01-01 18:48:23,18,67,,2
126,2019-07-25 00:26:35,19,149,0.56,4
127,2019-08-27 01:20:16,20,25,,4
