"id","created_at","category","price","title","vendor"
1,2020-07-19 19:44:56,Gizmo,34.107,Rustic Paper Wallet,"Swaniawski, Casper and Hilll"
2,2022-04-11 08:49:35,Doohickey,81.126,Small Marble Shoes,Balistreri-Ankunding
3,2021-09-08 22:03:20,Doohickey,40.967,Synergistic Granite Chair,"Murray, Watsica and Wunsch"
4,2021-03-06 02:53:09,Doohickey,85.655,Enormous Aluminum Shirt,Regan Bradtke and Sons
5,2019-10-03 01:47:39,Gadget,95.788,Enormous Marble Wallet,"Price, Schultz and Daniel"
6,2020-03-29 05:43:40,Doohickey,75.196,Small Marble Hat,Nolan-Wolff
7,2020-06-03 03:07:28,Doohickey,114.396,Aerodynamic Linen Coat,Little-Pagac
8,2021-04-30 15:03:53,Doohickey,76.278,Enormous Steel Watch,Senger-Stamm
9,2022-02-07 08:26:25,Widget,67.505,Practical Bronze Computer,Keely Stehr Group
10,2020-01-09 09:51:20,Gizmo,36.797,Mediocre Wooden Table,"Larson, Pfeffer and Klocko"
11,2021-05-28 08:02:54,Gadget,102.224,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson"
12,2020-11-12 14:51:16,Gizmo,89.534,Sleek Paper Toucan,Mueller-Dare
13,2019-05-24 23:09:46,Gizmo,86.922,Synergistic Steel Chair,Mr. Tanya Stracke and Sons
14,2020-12-31 14:41:56,Widget,29.055,Awesome Concrete Shoes,McClure-Lockman
15,2019-09-08 14:42:57,Widget,29.055,Aerodynamic Paper Computer,Friesen-Anderson
16,2020-01-30 22:00:25,Gadget,51.021,Incredible Bronze Pants,"Okuneva, Kutch and Monahan"
17,2020-01-31 11:05:14,Doohickey,61.691,Enormous Wool Car,"Hilpert, Jacobs and Hauck"
18,2020-02-11 03:45:40,Gadget,63.209,Lightweight Paper Bottle,Wilkinson-Gottlieb
19,2019-11-06 23:27:12,Doohickey,49.397,Rustic Concrete Bottle,"Gibson, Turner and Douglas"
20,2020-08-25 18:18:36,Gizmo,28.807,Intelligent Wooden Gloves,Ora Monahan and Sons
21,2019-06-30 07:30:53,Gadget,46.749,Lightweight Wool Bag,Heaney-Windler
22,2020-11-24 20:14:28,Gizmo,24.802,Enormous Marble Shoes,"Mayer, Kiehn and Turcotte"
23,2021-02-01 16:00:14,Widget,90.192,Fantastic Aluminum Bottle,"Reichert, Johnson and Roob"
24,2020-02-08 05:19:53,Doohickey,86.672,Synergistic Marble Keyboard,Claude Thompson Group
25,2021-10-17 03:54:33,Widget,52.960,Durable Marble Watch,"Ritchie, Haley and Pacocha"
26,2020-11-02 09:54:01,Widget,52.575,Ergonomic Aluminum Plate,Tia Goyette Group
27,2022-01-25 13:28:28,Gadget,98.417,Awesome Aluminum Table,Alfredo Kuhlman Group
28,2021-03-13 11:24:34,Gizmo,52.575,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings"
29,2020-09-14 15:30:37,Widget,95.369,Durable Steel Toucan,Odessa Emmerich Inc
30,2019-10-22 11:57:21,Gadget,49.527,Ergonomic Paper Wallet,Miles Ryan Group
31,2021-06-05 19:01:10,Doohickey,81.538,Rustic Rubber Clock,"Quigley, Von and Will"
32,2020-11-15 04:21:04,Gadget,82.689,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons
33,2019-05-30 20:38:52,Doohickey,36.847,Small Plastic Computer,Spinka-Stokes
34,2019-04-28 22:08:19,Gadget,57.344,Heavy-Duty Wooden Clock,Eugenia Kunze LLC
35,2020-09-14 22:13:40,Doohickey,55.209,Mediocre Cotton Coat,Cassin-Collins
36,2019-04-26 19:29:55,Gizmo,101.051,Mediocre Plastic Clock,"Wolf, Beahan and Thiel"
37,2022-04-15 13:34:19,Gadget,61.823,Incredible Granite Toucan,"Parker, OConnell and Beahan"
38,2020-01-09 14:54:58,Gadget,50.989,Lightweight Leather Gloves,"Bednar, Berge and Boyle"
39,2022-01-06 03:22:33,Gizmo,88.428,Durable Rubber Computer,Carmela Douglas Inc
